,Description,Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid,Data.Calories
0,"Milk, human",6.89,1.03,4.38,71.1
1,"Milk, NFS",4.87,3.34,1.99,50.75
2,"Milk, whole",4.67,3.28,3.2,60.6
3,"Milk, low sodium, whole",4.46,3.1,3.46,61.38
4,"Milk, calcium fortified, whole",4.67,3.28,3.2,60.6
5,"Milk, calcium fortified, low fat (1%)",5.19,3.38,0.95,42.83
6,"Milk, calcium fortified, fat free (skim)",4.85,3.4,0.18,34.62
7,"Milk, reduced fat (2%)",4.91,3.35,1.9,50.14
8,"Milk, acidophilus, low fat (1%)",5.19,3.38,0.95,42.83
9,"Milk, acidophilus, reduced fat (2%)",4.91,3.35,1.9,50.14
10,"Milk, low fat (1%)",5.19,3.38,0.95,42.83
11,"Milk, fat free (skim)",4.89,3.43,0.08,34.0
12,"Milk, lactose free, low fat (1%)",5.19,3.38,0.95,42.83
13,"Milk, lactose free, fat free (skim)",4.89,3.43,0.08,34.0
14,"Milk, lactose free, reduced fat (2%)",4.91,3.35,1.9,50.14
15,"Milk, lactose free, whole",4.67,3.28,3.2,60.6
16,"Buttermilk, fat free (skim)",4.79,3.31,1.07,42.03
17,"Buttermilk, low fat (1%)",4.79,3.31,1.07,42.03
18,"Buttermilk, reduced fat (2%)",5.3,4.1,2.0,55.6
19,"Buttermilk, whole",4.88,3.21,3.31,62.15
20,"Kefir, NS as to fat content",7.48,3.59,0.96,52.92
21,"Goat's milk, whole",4.45,3.56,4.14,69.3
22,"Milk, dry, reconstituted, NS as to fat content",4.6,3.2,0.07,31.83
23,"Milk, dry, reconstituted, whole",5.86,4.01,4.08,76.2
24,"Milk, dry, reconstituted, low fat (1%)",4.55,3.17,1.01,39.97
25,"Milk, dry, reconstituted, fat free (skim)",4.6,3.2,0.07,31.83
26,"Milk, evaporated, NS as to fat content",10.04,6.81,7.56,135.44
27,"Milk, evaporated, whole",10.04,6.81,7.56,135.44
28,"Milk, evaporated, reduced fat (2%)",11.15,7.42,1.96,91.92
29,"Milk, evaporated, fat free (skim)",11.35,7.55,0.2,77.4
30,"Milk, condensed, sweetened",54.4,7.91,8.7,327.54
31,"Non-dairy milk, NFS",3.75,1.04,1.17,29.69
32,Soy milk,4.92,2.6,1.47,43.31
33,"Soy milk, light",3.51,2.38,0.77,30.49
34,"Soy milk, nonfat",4.14,2.47,0.04,26.8
35,"Soy milk, chocolate",9.95,2.26,1.53,62.61
36,"Soy milk, light, chocolate",8.24,2.1,0.64,47.12
37,"Soy milk, nonfat, chocolate",8.24,2.1,0.64,47.12
38,"Almond milk, sweetened",5.24,0.38,0.93,30.85
39,"Almond milk, sweetened, chocolate",8.34,0.43,0.95,43.63
40,"Almond milk, unsweetened",1.31,0.4,0.96,15.48
41,"Almond milk, unsweetened, chocolate",1.48,0.46,1.0,16.76
42,Rice milk,9.17,0.28,0.97,46.53
43,Coconut milk,2.92,0.21,2.08,31.24
44,"Yogurt, NFS",7.04,5.25,1.55,63.11
45,"Yogurt, Greek, NS as to type of milk or flavor",3.94,9.95,1.92,72.84
46,"Yogurt, NS as to type of milk or flavor",7.04,5.25,1.55,63.11
47,"Yogurt, NS as to type of milk, plain",7.04,5.25,1.55,63.11
48,"Yogurt, whole milk, plain",4.66,3.47,3.25,61.77
49,"Yogurt, low fat milk, plain",7.04,5.25,1.55,63.11
50,"Yogurt, nonfat milk, plain",7.68,5.73,0.18,55.26
51,"Yogurt, Greek, NS as to type of milk, plain",3.94,9.95,1.92,72.84
52,"Yogurt, Greek, whole milk, plain",3.98,9.0,5.0,96.92
53,"Yogurt, Greek, low fat milk, plain",3.94,9.95,1.92,72.84
54,"Yogurt, Greek, nonfat milk, plain",3.64,10.3,0.37,59.09
55,"Yogurt, NS as to type of milk, fruit",14.46,4.66,1.37,88.81
56,"Yogurt, whole milk, fruit",12.36,3.1,2.87,87.67
57,"Yogurt, low fat milk, fruit",14.46,4.66,1.37,88.81
58,"Yogurt, nonfat milk, fruit",15.02,5.09,0.17,81.97
59,"Yogurt, Greek, NS as to type of milk, fruit",12.29,8.17,2.57,104.97
60,"Yogurt, Greek, whole milk, fruit",12.29,7.33,3.0,105.48
61,"Yogurt, Greek, low fat milk, fruit",12.29,8.17,2.57,104.97
62,"Yogurt, Greek, nonfat milk, fruit",12.2,8.06,0.15,82.39
63,"Yogurt, NS as to type of milk, flavors other than fruit",9.82,5.09,1.51,73.23
64,"Yogurt, whole milk, flavors other than fruit",9.41,3.3,3.1,78.74
65,"Yogurt, low fat milk, flavors other than fruit",9.82,5.09,1.51,73.23
66,"Yogurt, nonfat milk, flavors other than fruit",10.44,5.56,0.18,65.62
67,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",9.54,8.64,2.5,95.22
68,"Yogurt, Greek, whole milk, flavors other than fruit",9.35,8.47,4.44,111.24
69,"Yogurt, Greek, low fat milk, flavors other than fruit",9.54,8.64,2.5,95.22
70,"Yogurt, Greek, nonfat milk, flavors other than fruit",10.37,8.64,0.18,77.66
