0,7up,8.7,0.0,0.0,38.0
1,Actimel Вишня,11.5,2.9,1.5,74.0
2,Actimel Гранат,11.5,2.7,1.5,73.0
3,Actimel Земляника и шиповник,11.5,2.7,1.5,73.0
4,Actimel Клубника,11.5,2.7,1.5,72.0
5,Actimel Малина и клюква,11.5,2.7,1.5,72.0
6,Actimel Мультифрукт,12.0,2.7,1.5,75.0
7,Actimel Натуральный,10.5,2.8,1.6,71.0
8,Actimel Черника и ежевика,11.5,2.9,1.5,74.0
9,Exponenta High-Pro Черника-Алоэ,2.5,12.0,0.0,60.0
10,Fruttis Сливочное лакомство Клубника-Земляника,17.0,2.2,5.0,122.0
11,Neo Имунеле Natural,11.8,1.8,0.9,63.0
12,Neo Имунеле Гранат-Вишня,12.4,2.5,1.2,70.0
13,Neo Имунеле Клюква-Малина,12.6,2.5,1.2,71.0
14,Neo Имунеле Лесные ягоды,13.1,2.5,1.2,73.0
15,Абрикос,9.0,0.9,0.1,44.0
16,Абрикос консервированный,15.5,0.4,0.1,67.0
17,Абрикосовая косточка,56.3,14.0,27.7,440.0
18,Абрикосовый компот,21.0,0.5,0.0,85.0
19,Абрикосовый сок,9.0,0.9,0.1,38.0
20,Абсент,8.8,0.0,0.0,171.0
21,Авокадо,6.0,2.0,20.0,212.0
22,Агар пищевой,76.0,4.0,0.0,301.0
23,Аджика,5.8,1.0,3.7,59.0
24,Ажгон,11.9,19.7,14.5,333.0
25,Азу,10.2,11.9,14.2,214.0
26,Айва,9.8,0.6,0.5,40.0
27,Айвовый компот,20.0,0.4,0.0,79.0
28,Айвовый сок,10.6,0.5,0.0,45.0
29,Айран (тан) газированный,1.4,1.1,1.5,24.0
30,Айран (тан) из козьего молока,1.4,1.1,1.5,24.0
31,Айран (тан) негазированный,1.4,1.1,1.5,24.0
32,Айран (тан) негазированный нежирный,1.4,1.1,0.2,12.0
33,Айран (тан) с укропом и огурцом,1.4,1.1,1.0,19.0
34,Айран (тан) сильногазированный,1.4,1.1,1.0,19.0
35,Аквафаба нутовая,0.9,0.4,0.0,5.0
36,Аквафаба сублимированная Гала-Гала,14.0,6.1,0.0,84.0
37,Аки,8.0,1.0,15.0,151.0
