,Сливочное масло с солью,717,0.85,81.11,0.06
0,"Сливочное масло, взбитое с солью",718,0.49,78.3,2.87
1,Сливочное масло безводное,876,0.28,99.48,0.0
2,Сыр голубой,353,21.4,28.74,2.34
3,Сыр кирпичный,371,23.24,29.68,2.79
4,Сыр бри,334,20.75,27.68,0.45
5,Сыр камамбер,300,19.8,24.26,0.46
6,Сыр с тмином,376,25.18,29.2,3.06
7,"Сыр, чеддер",404,22.87,33.31,3.09
8,Сыр чеширский,387,23.37,30.6,4.78
9,"Сыр, колби",394,23.76,32.11,2.57
10,"Сыр, творог, взбитые сливки, крупный или мелкий творог",98,11.12,4.3,3.38
11,Сыр творожный со сливками с фруктами,97,10.69,3.85,4.61
12,"Сыр творожный, нежирный, без сливок, сухой, крупный или мелкий творожный",72,10.34,0.29,6.66
13,"Сыр творожный с низким содержанием жира, 2%-ный молочный жир",81,10.45,2.27,4.76
14,"Сыр творожный с низким содержанием жира, 1% молочного жира",72,12.39,1.02,2.72
15,"Сыр, сливки",350,6.15,34.44,5.52
16,Сыр эдам,357,24.99,27.8,1.43
17,Сыр фета,264,14.21,21.28,4.09
18,"Сыр ""фонтина""",389,25.6,31.14,1.55
19,"Сыр, джетост",466,9.65,29.51,42.65
20,Сыр гауда,356,24.94,27.44,2.22
21,Сыр грюйер,413,29.81,32.34,0.36
22,Сыр лимбургский,327,20.05,27.25,0.49
23,"Сыр, монтерей",373,24.48,30.28,0.68
24,"Сыр, моцарелла, цельное молоко",300,22.17,22.35,2.19
25,"Сыр, моцарелла, цельное молоко с низким содержанием влаги",318,21.6,24.64,2.47
26,"Сыр, моцарелла, частично обезжиренное молоко",254,24.26,15.92,2.77
27,"Сыр моцарелла с низким содержанием влаги, частично обезжиренный",295,23.75,19.78,5.58
28,Сыр мюнстерский,368,23.41,30.04,1.12
29,Сыр невшатель,253,9.15,22.78,3.59
30,"Сыр, тертый пармезан",420,28.42,27.84,13.91
31,Сыр твердый с пармезаном,392,35.75,25.83,3.22
32,Сыр порт-де-салют,352,23.78,28.2,0.57
33,Сыр проволоне,351,25.58,26.62,2.14
34,"Сыр, рикотта, цельное молоко",174,11.26,12.98,3.04
35,"Сыр, рикотта, частично обезжиренное молоко",138,11.39,7.91,5.14
36,Сыр романо,387,31.8,26.94,3.63
37,Сыр рокфор,369,21.54,30.64,2.0
38,Сыр швейцарский,393,26.96,30.99,1.44
39,Сыр тильзитский,340,24.41,25.98,1.88
40,"Сыр американский, пастеризованный, обогащенный витамином d",366,18.13,30.71,4.78
41,Сыр пименто пастеризованного производства,375,22.13,31.2,1.73
42,Сыр швейцарский пастеризованный,334,24.73,25.01,2.1
43,Сырный корм в холодной упаковке по-американски,331,19.66,24.46,8.32
44,"Сыр пищевой, пастеризованный, американский, обогащенный витамином d.",330,16.86,25.63,8.56
45,"Сыр пищевой, пастеризованный, швейцарский",323,21.92,24.14,4.5
46,Сырный спред пастеризованный по-американски,290,16.41,21.23,8.73
47,"Сливки, жидкость, пополам",123,3.13,10.39,4.73
48,"Крем жидкий, легкий (кофейный или столовый)",191,2.96,19.1,2.82
49,"Сливки, жидкие, для легкого взбивания",292,2.17,30.91,2.96
50,"Сливки, жидкие, для интенсивного взбивания",340,2.84,36.08,2.74
51,Сливки взбитые для посыпки сливками под давлением,257,3.2,22.22,12.49
52,"Сливки кислые с пониженным содержанием жира, кисломолочные",135,2.94,12.0,4.26
53,"Сливки кислые, кисломолочные",198,2.44,19.35,4.63
54,Гоголь - Моголь,88,4.55,4.19,8.05
55,"Сметанная заправка, нежирная, с кремообразной начинкой",178,3.25,16.57,4.68
56,"Молоко с начинкой, жидкое, со смесью гидрогенизированных растительных масел",63,3.33,3.46,4.74
57,"Молоко с начинкой, жидкое, с маслом лауриновой кислоты",63,3.33,3.4,4.74
58,"Сыр американский, обезжиренный или без жира",126,21.05,0.0,10.53
59,"Жидкий заменитель сливок с гидрогенизированными овощами, растительным маслом и соевым белком",136,1.0,9.97,11.38
60,Жидкий заменитель сливок с маслом лауриновой кислоты и казеинатом натрия,136,1.0,9.97,11.38
